book_title,book_page_num,book_publish_month,book_publish_day,book_publisher,book_num_reviews,book_publish_year,book_lang,book_author,book_rating,book_isbn,book_genre
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",652,12,9,1,28062,2006,1,1,4.57,6412759,1
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",870,1,9,1,29770,2004,1,1,4.5,0439358078,2
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",352,1,11,2,244,2003,1,1,4.42,0439554896,2
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",435,1,5,1,37093,2004,1,1,4.57,043965548X,3
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",734,12,9,2,31978,2002,1,1,4.5600000000000005,6412759,4
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",2690,12,9,2,166,2004,1,1,4.78,0439682584,5
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",152,12,4,3,1,2005,1,2,3.79,0976540606,2
"Harry Potter Collection (Harry Potter, #1-6)",3342,12,9,2,809,2005,1,1,4.73,0439827604,6
A Short History of Nearly Everything,544,12,9,4,9545,2004,1,3,4.21,076790818X,7
In a Sunburned Country,335,12,5,4,4298,2001,1,3,4.07,0767903862,8
The Lost Continent: Travels in Small Town America,299,12,8,5,2276,1990,1,3,3.83,0060920084,8
Neither Here nor There: Travels in Europe,254,12,3,5,2264,1993,1,3,3.86,0380713802,9
Notes from a Small Island,324,12,5,5,3335,1997,1,3,3.92,0380727501,10
The Mother Tongue: English and How It Got That Way,270,12,9,5,2123,1991,1,3,3.93,0380715430,11
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1728,12,9,6,1548,2012,1,4,4.6,0345538374,12
"The Lord of the Rings (The Lord of the Rings, #1-3)",1184,12,10,7,90,2004,1,4,4.5,0618517650,3
"The Fellowship of the Ring (The Lord of the Rings, #1)",398,5,9,7,13935,2003,1,4,4.36,0618346252,13
The Lord of the Rings: Weapons and Warfare,218,5,11,7,45,2003,1,5,4.53,0618391002,3
The Lord of the Rings: Complete Visual Companion,224,12,11,7,6,2004,1,6,4.5,0618510826,5
The Lord of the Rings Box Set,1223,12,9,8,19,2001,1,4,4.5,0618153977,8
Agile Web Development with Rails: A Pragmatic Guide,558,12,7,9,59,2005,1,7,3.84,097669400X,12
Ruby Quickly: Ruby and Rails for the Real World,360,1,8,10,0,2006,1,8,3.4,1932394745,7
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",48,12,8,11,2,1994,1,9,4.0,1557344493,3
Guts: The True Stories behind Hatchet and the Brian Books,144,12,1,12,336,2001,1,10,3.88,0385326505,10
Molly Hatchet - 5 of the Best,56,10,6,13,0,2003,1,11,4.33,1575606240,5
Hatchet Jobs: Writings on Contemporary Fiction,228,1,11,14,16,2005,1,12,3.46,1595580271,14
The Woodsman and His Hatchet: Eighty Years on Back Country Survival,150,1,10,15,0,1996,1,13,3.6,0912299622,5
A Changeling for All Seasons (Changeling Seasons #1),304,1,11,16,4,2005,1,14,3.76,1595962808,8
"Changeling (Changeling, #1)",256,12,8,17,112,2006,1,15,3.6,0670059676,15
The Changeling Sea,137,12,4,18,306,2003,1,16,4.06,0141312629,7
The Changeling,228,8,6,19,97,2004,1,17,4.17,0595321801,4
